Batch,LOG_DATE,LINE,SKU,MAIN_DRIVE_1_SPEED,MAIN_DRIVE_2_SPEED,CHAIN_SPEED,ACID_TANK_1,ACID_TANK_2,RINSING_TANK_1,RINSING_TANK_2,ALKALINE_TANK_1,ALKALINE_TANK_2,RINSING_TANK_3,RINSING_TANK_4,RINSING_TANK_5,FORMER_OVEN,COAGULANT_TANK_SIDE_A,COAGULANT_TANK_SIDE_B,COAGULANT_OVEN_1,COAGULANT_OVEN_2,LATEX_TANK_1_SIDE_A,LATEX_TANK_1_SIDE_B,LATEX_1_OVEN_1,LATEX_1_OVEN_2,LATEX_TANK_2_SIDE_A,LATEX_TANK_2_SIDE_B,LATEX_2_OVEN,PRE_LEACH_TANK_01,PRE_LEACH_TANK_02,PRE_LEACH_TANK_03,PRE_LEACH_TANK_04,PRE_LEACH_TANK_05,PRE_LEACH_TANK_06,PRE_LEACH_TANK_07,PRE_LEACH_TANK_08,PRE_LEACH_TANK_09,PRE_LEACH_OVEN,WET_OVEN_1,WET_OVEN_2,WET_OVEN_3,WET_OVEN_4,DRY_OVEN_1,DRY_OVEN_2,DRY_OVEN_3,DRY_OVEN_4,COOLING_TANK_01,COOLING_TANK_02,COOLING_TANK_03,COOLING_TANK_04,COOLING_TANK_05,CHLORINATION_TANK,SOAK_TANK,NEUTRALIZER_TANK_01,NEUTRALIZER_TANK_02,POST_LEACH_TANK_04,POST_LEACH_TANK_03,POST_LEACH_TANK_02,POST_LEACH_TANK_01,POST_LEACH_OVEN,LN_TANK,FINAL_CURING_OVEN_1,FINAL_CURING_OVEN_2,COAGULANT_OVEN_RH,COAGULANT_OVEN_RH_1,WET_OVEN_RH,WET_OVEN_RH_1,WET_OVEN_RH_2,WET_OVEN_RH_3,FINAL_CURING_OVEN_RH,FINAL_CURING_OVEN_RH_1,Fail,Pass,result,target
1,2/4/2020,A02,N32WHT,1319.867554,1317.222534,163,59.96616364,59.88106155,60.00702286,59.90972137,59.86850357,59.8319931,60.57744217,59.91483688,60.15810013,70.4907608,53.89428329,52.92681503,83.52632904,84.0665741,32.45211792,31.86378479,105.0550842,105.1869354,31.80678177,32.53802872,89.70896149,60.22150421,60.02263641,60.04645157,60.02005768,56.0507431,35.08228302,58.22219467,60.33375549,56.72648621,86.422966,89.53762054,87.36792755,89.63851166,89.55846405,90.72793579,92.69641113,91.29421234,90.36245728,67.0203476,58.81212616,52.04946899,46.68089676,42.76023483,36.40082169,34.98051834,33.71304321,39.35442352,65.22367096,65.09033203,65.37879944,61.08181,109.2071609,45.37875366,110.0775223,109.6426468,7.152014256,9.835790634,11.78437614,16.07224464,18.77326584,20.76349258,7.462003708,11.41873837,5,41,Pass,1
2,2/4/2020,A03,N37CBB,1412.339478,1409.542725,174.1666718,60.01256561,59.94081497,59.50041199,59.19853973,59.83258438,59.77984619,60.20442963,60.81429291,60.09658813,70.72270203,53.99004745,53.15653992,91.96347046,92.14689636,34.65171432,33.87702942,108.1140442,111.1065598,34.31783295,32.91205597,89.20397186,60.4535675,60.02876282,60.02215195,60.04528809,60.00034332,39.26137161,60.28955841,60.07051086,60.01731873,85.92867279,94.65856934,94.38000488,94.99664307,94.80709839,94.95484924,95.47606659,95.44306183,95.23693848,70.54854584,62.86993027,54.61391449,49.89370346,45.59020996,38.37850189,36.68898392,33.79729843,39.96476746,66.53746796,63.36195755,64.42404175,58.88159561,110.6295395,52.60030365,111.2745819,109.8477402,7.152014256,9.835790634,11.78437614,16.07224464,18.77326584,20.76349258,7.462003708,11.41873837,6,35,Pass,1
3,2/4/2020,A04,N37CBB,1452.312134,1450.831055,179.0166626,60.19944,59.93702316,59.93694687,58.92198181,59.81570816,59.80123138,55.80971527,60.22869873,60.8391037,70.10380554,54.4299202,53.12073517,88.30237579,88.42145538,33.83253098,34.35506058,109.7569656,111.4043198,34.00526428,34.60201645,90.27503967,60.4081955,60.00007248,60.02673721,60.01789093,60.12693787,38.78077316,60.01259613,59.98402405,60.15658569,75.72296906,90.15070343,89.87221527,89.97881317,90.49789429,90.10675812,87.04868317,90.66996765,88.99160767,67.35536957,59.41671753,55.66642761,49.31807327,44.77197266,37.73384857,36.46483994,34.62023926,40.57587433,65.31083679,64.98418427,66.36435699,61.67900467,109.4854584,52.1422081,109.2362976,111.5452347,7.152014256,9.835790634,11.78437614,16.07224464,18.77326584,20.76349258,7.462003708,11.41873837,10,38,Pass,1
4,2/4/2020,A05,N37CBB,1412.375,1410.205566,174.1833344,59.85147476,60.3502121,59.91416168,59.96522141,59.87981415,59.80636597,59.57302856,57.3433609,57.06251144,70.21221924,53.05493546,54.38755417,103.3189468,102.5862122,33.54963303,35.04183197,118.4814682,118.9370346,33.20196915,34.45950699,90.89084625,59.98137665,60.06400299,60.07551575,60.00853348,60.13244247,39.83427811,60.20890045,60.16293335,60.19849777,71.12676239,99.4473114,99.69693756,99.74854279,99.70030975,100.3445511,100.5936661,101.6503525,100.0908356,74.266922,68.26956177,60.71408081,55.44289017,39.97047806,41.16386032,39.20394897,34.78490448,40.09618759,65.9618454,65.14589691,64.40333557,61.96256638,105.9665451,54.14919281,110.1533051,109.8106918,7.152014256,9.835790634,11.78437614,16.07224464,18.77326584,20.76349258,7.462003708,11.41873837,9,38,Pass,1
5,2/4/2020,A06,N32KCL,1214.839111,1211.177856,150,59.9017067,60.00156021,59.89389801,60.16036987,59.9569931,59.88735962,60.67259979,60.09367371,57.53482437,73.51396179,52.51001358,53.2360611,81.43972778,81.30995941,32.40963364,30.45739174,115.3737488,114.606102,33.27277374,31.74964333,90.08369446,60.1438446,60.01413345,59.93999863,59.91014481,59.97689438,37.37005615,60.1032486,59.90439606,60.0921936,69.87405396,90.38426971,89.83473206,90.69103241,90.86389923,90.51013947,90.72351074,90.37389374,90.29174805,61.91584396,49.98496628,45.4227562,42.45579529,39.06306076,37.50191498,36.7853775,36.07569885,39.08896255,65.85217285,64.78394318,65.24586487,59.42781067,106.2286987,53.58137512,110.6998901,110.0736923,7.152014256,9.835790634,11.78437614,16.07224464,18.77326584,20.76349258,7.462003708,11.41873837,6,19,Pass,1
6,2/5/2020,A01,N32KCL,1252.240601,1255.30249,154.4499969,59.99289322,59.81851959,60.15654755,60.07106018,59.86124802,60.00363922,60.91720581,60.05022812,59.96990967,70.07736206,51.57588196,50.00813293,88.90568542,88.63092041,32.46295929,34.56299973,124.4337616,125.2767029,33.27315521,32.60960388,91.53238678,60.14523697,60.07057953,60.03756714,59.85438919,60.16079712,35.61526871,60.14560699,59.87869263,59.78290939,75.88778687,90.09369659,90.37989807,90.14572906,89.33269501,90.16928864,90.44299316,91.64044189,90.53087616,65.32472229,56.56964493,47.8062439,45.21507263,41.31103516,37.01633453,35.44811249,33.56684113,39.82428741,65.51014709,65.07414246,65.16542816,64.11017609,109.5758057,43.26288605,107.8397827,104.1368637,7.240550518,10.02280712,12.04289722,16.11869431,18.94232941,21.32094574,7.461781979,11.36301613,4,39,Pass,1
7,2/5/2020,A02,N32WHT,1319.852417,1315.934632,163,59.97833633,59.93562317,60.01376725,59.84431267,59.81292153,59.83237458,60.29264832,59.91258622,60.01498795,70.49544144,54.20756531,53.34794236,83.56317902,84.01744461,32.39639473,31.81169224,105.1033478,105.2358971,31.54105949,32.1948204,89.74484635,52.9314785,58.98451233,59.95630455,59.73609352,55.21390152,33.87401772,57.44148064,59.95575142,60.21223831,86.43252945,93.63437653,88.44550324,90.95239258,90.99350358,94.89971161,94.81378174,94.88498306,94.37675476,67.00781632,59.43528557,52.8091774,47.36115456,43.36737251,36.49178315,35.30810738,33.69198799,38.89649391,65.04856491,65.13611603,65.18536377,61.10036469,109.2274552,45.47984696,110.1841927,109.6860695,7.284770966,10.21314287,12.27553463,16.44551754,19.15934468,21.64757824,7.518046618,11.31572628,18,12,Fail,0
8,2/5/2020,A03,N37CBB,1412.419495,1410.830323,174.1750031,59.98092461,59.90743447,60.22917938,59.04310417,59.88356781,59.86913681,60.20461464,61.57284928,60.00642395,70.73518372,54.03150559,53.14758111,90.29156876,90.37040329,34.66445923,33.94883347,104.5297852,107.2816124,34.18831444,32.54276276,89.42649079,60.07172394,60.02445603,60.02128792,60.01392555,60.01386261,39.00559616,60.2734108,60.0449276,60.10982514,85.77791595,94.62042237,94.38948059,94.99653244,94.7997284,94.90696717,95.4855423,95.42131043,95.20461655,70.61330796,63.0309639,54.788414,50.33821106,45.97986794,38.42695236,36.59308434,33.6107769,39.59477807,66.62372971,63.13318253,64.5852356,59.19909096,110.674202,49.740551,111.2890587,109.8776322,7.284770966,10.21314287,12.27553463,16.44551754,19.15934468,21.64757824,7.518046618,11.31572628,4,44,Pass,1
9,2/5/2020,A04,N37CBB,1452.409668,1451.123047,179.0166626,60.26923752,60.02731514,59.9791298,58.65904045,59.9183693,59.7930069,55.84685516,60.06174088,60.72883988,70.12766266,54.12855721,53.13884735,88.3120842,88.43707657,33.77658463,34.39719582,109.7647248,111.4068794,34.07676888,34.60331917,90.30926514,60.26404572,60.00625038,60.04669381,60.10322381,60.13587761,37.54185486,60.21928597,60.0328083,60.07505226,75.65127564,90.15975952,89.86607361,90.01449204,90.51919174,90.0839119,86.84212876,90.67382813,88.6303711,67.14608383,59.36594963,55.56352234,49.21452141,44.81778336,37.65310479,36.41208649,34.41597557,40.04820633,65.17071915,65.08156204,66.27986908,61.69589615,109.5002213,51.1307621,109.2305413,111.6318283,7.284770966,10.21314287,12.27553463,16.44551754,19.15934468,21.64757824,7.518046618,11.31572628,7,41,Pass,1
10,2/5/2020,A05,N37CBB,0,0,0,51.36478424,49.74834824,50.87471771,52.13601303,51.70759964,51.58573914,50.59917641,51.85855103,49.70249558,45.29347039,53.00037384,54.26115418,42.79912758,44.74277878,29.19888306,29.44437313,47.5183353,40.6120243,31.82957745,32.164114,42.66775704,67.89512253,49.76390839,65.11838151,48.53370094,48.80572319,37.16850472,49.3193264,50.40971566,49.98543358,41.22228241,44.5808239,52.86465836,60.51664925,60.75848389,60.42721749,69.15478516,63.15919114,50.5454216,56.10178566,52.41036415,50.87493134,48.59196091,36.74886131,34.50733376,35.98476219,38.67188645,38.63691139,52.09399796,54.85231781,55.2087574,53.34902001,47.890913,47.47543335,60.72085,60.36538125,7.284770966,10.21314287,12.27553463,16.44551754,19.15934468,21.64757824,7.518046618,11.31572628,0,6,Pass,1
